"","beta","nPassesPerScan","meanRate"
"313",0.4,0,1.8787646088334
"314",0.4,0.5,2.16740935265098
"315",0.4,1,2.15026722820679
"316",0.4,2,2.14372371098875
"317",0.4,4,2.14133912107205
"318",0.4,8,2.15570285536591
"319",0.4,16,2.15474185133064
"320",0.4,32,2.14586918683501
"321",0.41,0,1.87696016237827
"322",0.41,0.5,2.19236248018535
"323",0.41,1,2.1742077799574
"324",0.41,2,2.1629592785074
"325",0.41,4,2.1612511511952
"326",0.41,8,2.17921779696481
"327",0.41,16,2.17432545722391
"328",0.41,32,2.17082602217714
"329",0.42,0,1.87448417517385
"330",0.42,0.5,2.21518770545149
"331",0.42,1,2.1977995044499
"332",0.42,2,2.18245653881115
"333",0.42,4,2.18230537746697
"334",0.42,8,2.20192588308487
"335",0.42,16,2.19448146123963
"336",0.42,32,2.19508289719718
"337",0.43,0,1.87358118441366
"338",0.43,0.5,2.23591816518496
"339",0.43,1,2.22054306624971
"340",0.43,2,2.2022154919
"341",0.43,4,2.20450179988737
"342",0.43,8,2.22382711372608
"343",0.43,16,2.21520986337781
"344",0.43,32,2.21863981189511
"345",0.44,0,1.87452232711504
"346",0.44,0.5,2.25455385938577
"347",0.44,1,2.24243846535682
"348",0.44,2,2.22223613777397
"349",0.44,4,2.2278404184564
"350",0.44,8,2.24492148888845
"351",0.44,16,2.23651066363846
"352",0.44,32,2.24124566771682
"353",0.45,0,1.87948849713247
"354",0.45,0.5,2.27217734143807
"355",0.45,1,2.26322970732208
"356",0.45,2,2.23766637188383
"357",0.45,4,2.25134317490574
"358",0.45,8,2.26486897828117
"359",0.45,16,2.25855492177754
"360",0.45,32,2.26097041524763
"361",0.46,0,1.88583466809796
"362",0.46,0.5,2.29233223845296
"363",0.46,1,2.27812809548779
"364",0.46,2,2.25234313028285
"365",0.46,4,2.27060522633519
"366",0.46,8,2.29170928823375
"367",0.46,16,2.27992356313551
"368",0.46,32,2.27585518145125
"369",0.47,0,1.88984906117759
"370",0.47,0.5,2.31393373353826
"371",0.47,1,2.29607370859883
"372",0.47,2,2.27396834829119
"373",0.47,4,2.29320450589877
"374",0.47,8,2.31884396321446
"375",0.47,16,2.30419954498024
"376",0.47,32,2.29588392799317
"377",0.48,0,1.89030780427782
"378",0.48,0.5,2.33967870798768
"379",0.48,1,2.31876610471489
"380",0.48,2,2.30376983062986
"381",0.48,4,2.3203418850788
"382",0.48,8,2.34561474447516
"383",0.48,16,2.33208933896234
"384",0.48,32,2.32328899590094
"385",0.49,0,1.88818920748441
"386",0.49,0.5,2.36956716180124
"387",0.49,1,2.34620528383599
