"","beta","nChains","meanRate"
"223",0.38,20,2.08525707391895
"224",0.38,40,2.12013014458557
"225",0.38,80,2.11670970583952
"226",0.38,160,2.11251952703462
"227",0.38,320,2.1286066570133
"228",0.38,640,2.14909813770425
"229",0.39,20,2.10985642279938
"230",0.39,40,2.13533016718035
"231",0.39,80,2.13101159395669
"232",0.39,160,2.1359377029584
"233",0.39,320,2.15608820529992
"234",0.39,640,2.17488659289549
"235",0.4,20,2.13174706929948
"236",0.4,40,2.15239370443201
"237",0.4,80,2.15919294868237
"238",0.4,160,2.15648467591076
"239",0.4,320,2.17140555312105
"240",0.4,640,2.19535386354175
"241",0.41,20,2.15295754360544
"242",0.41,40,2.16926617055395
"243",0.41,80,2.19692627051823
"244",0.41,160,2.16982086847321
"245",0.41,320,2.18855414032623
"246",0.41,640,2.22273584705316
"247",0.42,20,2.17507242865095
"248",0.42,40,2.18376415108633
"249",0.42,80,2.20053970682225
"250",0.42,160,2.2008308720561
"251",0.42,320,2.2354345337542
"252",0.42,640,2.23210531611026
"253",0.43,20,2.19809172443601
"254",0.43,40,2.20796287419186
"255",0.43,80,2.21590157349936
"256",0.43,160,2.23463026801233
"257",0.43,320,2.22492451509844
"258",0.43,640,2.2690084315724
"259",0.44,20,2.22201543096062
"260",0.44,40,2.23927995877641
"261",0.44,80,2.23416465316674
"262",0.44,160,2.25262730713332
"263",0.44,320,2.23400101207116
"264",0.44,640,2.29081175913972
"265",0.45,20,2.24612741759283
"266",0.45,40,2.26795464589898
"267",0.45,80,2.26108423502806
"268",0.45,160,2.27331862916071
"269",0.45,320,2.28588956420336
"270",0.45,640,2.30876423664633
"271",0.46,20,2.26865568466527
"272",0.46,40,2.29600574107161
"273",0.46,80,2.2812505929716
"274",0.46,160,2.29109548403786
"275",0.46,320,2.31166170049229
"276",0.46,640,2.33282559529627
"277",0.47,20,2.29382889263862
"278",0.47,40,2.32356415490671
"279",0.47,80,2.30981760004555
"280",0.47,160,2.32524977664482
"281",0.47,320,2.33356494466153
"282",0.47,640,2.36719556120197
"283",0.48,20,2.32181100840207
"284",0.48,40,2.35115322922034
"285",0.48,80,2.3409537839014
"286",0.48,160,2.35678891397313
"287",0.48,320,2.37562387628538
"288",0.48,640,2.39147103075733
"289",0.49,20,2.35260203195563
"290",0.49,40,2.38125612417444
"291",0.49,80,2.36907773837527
"292",0.49,160,2.39177869391839
"293",0.49,320,2.41146765256248
"294",0.49,640,2.42017497335949
"295",0.5,20,2.38620196329931
"296",0.5,40,2.41251966232928
"297",0.5,80,2.40606392062657
"298",0.5,160,2.41749929472776
"299",0.5,320,2.44198988562758
"300",0.5,640,2.4489478601745
"301",0.51,20,2.41987234706984
"302",0.51,40,2.44288749875085
"303",0.51,80,2.42824962449298
"304",0.51,160,2.43842407450812
"305",0.51,320,2.44596505329909
"306",0.51,640,2.48974272126608
"307",0.52,20,2.45214527660245
"308",0.52,40,2.4729686450718
"309",0.52,80,2.46060339973363
"310",0.52,160,2.48004831203682
"311",0.52,320,2.48492633095014
"312",0.52,640,2.52745908279924
"313",0.53,20,2.48402896942805
"314",0.53,40,2.50515631195869
"315",0.53,80,2.49257788647851
"316",0.53,160,2.49891572167689
"317",0.53,320,2.50868848979282
"318",0.53,640,2.5605313659765
"319",0.54,20,2.51552342554665
"320",0.54,40,2.53510587925425
"321",0.54,80,2.51932963598998
"322",0.54,160,2.53864005300923
"323",0.54,320,2.55902514853961
"324",0.54,640,2.59342860808019
"325",0.55,20,2.54663150515962
"326",0.55,40,2.56846458891633
"327",0.55,80,2.55217165457523
"328",0.55,160,2.57686420666229
"329",0.55,320,2.58790734597277
"330",0.55,640,2.62743214201532
"331",0.56,20,2.57870527084325
"332",0.56,40,2.6055068739491
"333",0.56,80,2.59158846431495
"334",0.56,160,2.61302031532896
"335",0.56,320,2.63635432863391
"336",0.56,640,2.66091625572983
"337",0.57,20,2.61275751312448
"338",0.57,40,2.63983832858518
"339",0.57,80,2.63484754741486
"340",0.57,160,2.64185200186015
"341",0.57,320,2.64804629831974
"342",0.57,640,2.66789463756656
"343",0.58,20,2.64931894552485
"344",0.58,40,2.66596622501644
"345",0.58,80,2.67389937297206
"346",0.58,160,2.68792550033623
"347",0.58,320,2.69624542258498
"348",0.58,640,2.74536050090809
"349",0.59,20,2.68838956804434
"350",0.59,40,2.6901604121795
"351",0.59,80,2.71681528326898
"352",0.59,160,2.73515768506958
"353",0.59,320,2.73903709283672
"354",0.59,640,2.78273016301745
"355",0.6,20,2.73075120074043
"356",0.6,40,2.72749115068675
"357",0.6,80,2.75617897640206
"358",0.6,160,2.76752213721994
"359",0.6,320,2.75566681821984
"360",0.6,640,2.80380294880804
"361",0.61,20,2.77796002830095
"362",0.61,40,2.77771720257942
"363",0.61,80,2.78034869655893
"364",0.61,160,2.79662910152747
"365",0.61,320,2.80196834077809
"366",0.61,640,2.82257065929099
"367",0.62,20,2.81640253963013
"368",0.62,40,2.81839947159349
"369",0.62,80,2.80864326829267
"370",0.62,160,2.84257965567474
"371",0.62,320,2.82866529684489
"372",0.62,640,2.87778899439538
"373",0.63,20,2.84589362630075
"374",0.63,40,2.8483875346858
"375",0.63,80,2.84156780956484
"376",0.63,160,2.86450972298082
"377",0.63,320,2.86435567834267
"378",0.63,640,2.90642930592245
"379",0.64,20,2.86658790702905
"380",0.64,40,2.88805909391378
"381",0.64,80,2.86843076863463
"382",0.64,160,2.8982805008651
"383",0.64,320,2.88979541605813
"384",0.64,640,2.9205340933779
"385",0.65,20,2.89602254400034
"386",0.65,40,2.91314141915019
"387",0.65,80,2.87499584387525
"388",0.65,160,2.91660219604444
"389",0.65,320,2.9333039558837
"390",0.65,640,2.9580900556321
"391",0.66,20,2.92394618455048
"392",0.66,40,2.93202690368244
"393",0.66,80,2.91864744179607
"394",0.66,160,2.94388968536426
"395",0.66,320,2.95338904826052
"396",0.66,640,2.98516082486091
"397",0.67,20,2.94589615986715
"398",0.67,40,2.95268468184342
"399",0.67,80,2.94695898841808
"400",0.67,160,2.96886275686962
"401",0.67,320,2.9881341014959
"402",0.67,640,3.00515973331742
"403",0.68,20,2.96187246995035
